,0,1
0,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929281495, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 583.86, '2': 583.88, '3': 583.88, '6': 'Z', '8': 16195313, '9': 100, '34': 1728929281417, '35': 1728929280852, '37': 1728929280646, '38': 1728929281417, '39': 'BATS'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929281495, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00580000', '11': 3.88, '17': 93}, {'key': 'SPY   241014C00579000', '11': 4.86, '16': 23}, {'key': 'SPY   241014C00577000', '11': 6.86}, {'key': 'SPY   241014C00576000', '11': 7.86, '17': 26}, {'key': 'SPY   241014P00575000', '11': -8.88, '16': 3634}, {'key': 'SPY   241014P00576000', '11': -7.86}, {'key': 'SPY   241014P00578000', '11': -5.88, '17': 5944}, {'key': 'SPY   241014P00577000', '11': -6.88, '16': 2708}, {'key': 'SPY   241014P00579000', '11': -4.88, '16': 3562, '17': 9656}, {'key': 'SPY   241014P00583000', '8': 247514, '11': -0.88, '16': 320, '17': 732, '18': 2}, {'key': 'SPY   241014P00580000', '11': -3.88, '17': 11024}, {'key': 'SPY   241014P00582000', '8': 245520, '11': -1.88, '16': 445, '17': 5044, '18': 2}, {'key': 'SPY   241014C00585000', '4': 0.1, '8': 165505, '11': -1.12, '16': 1671, '17': 636}, {'key': 'SPY   241014C00584000', '2': 0.39, '3': 0.4, '4': 0.39, '8': 262988, '11': -0.12, '16': 172, '17': 340, '18': 1}, {'key': 'SPY   241014C00583000', '2': 1.04, '3': 1.07, '11': 0.88, '16': 37, '17': 61}, {'key': 'SPY   241014C00582000', '3': 1.98, '4': 1.9500000000000002, '8': 81481, '11': 1.88, '16': 102, '17': 53, '18': 1}, {'key': 'SPY   241014P00584000', '2': 0.51, '3': 0.52, '8': 120645, '11': 0.12, '16': 330, '17': 120, '18': 8}, {'key': 'SPY   241014C00581000', '11': 2.86, '17': 93}, {'key': 'SPY   241014P00585000', '3': 1.24, '4': 1.23, '8': 21726, '11': 1.12, '16': 75, '17': 44, '18': 10}]}"
1,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929282519, 'command': 'SUBS', 'content': [{'key': 'SPY', '3': 583.87, '5': 3, '6': 'T', '8': 16196751, '34': 1728929282412, '35': 1728929282339, '37': 1728929282275, '38': 1728929282412, '39': ' '}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929282519, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '2': 5.85, '11': 5.88}, {'key': 'SPY   241014C00580000', '2': 3.86, '16': 82, '17': 46}, {'key': 'SPY   241014C00579000', '2': 4.86, '11': 4.88}, {'key': 'SPY   241014C00577000', '2': 6.85, '11': 6.88, '17': 2}, {'key': 'SPY   241014C00576000', '2': 7.84, '11': 7.88}, {'key': 'SPY   241014P00575000', '16': 3531}, {'key': 'SPY   241014P00576000', '11': -7.88, '17': 18203}, {'key': 'SPY   241014P00578000', '16': 8686}, {'key': 'SPY   241014P00577000', '4': 0.01, '8': 31520, '17': 10818, '18': 4}, {'key': 'SPY   241014P00579000', '8': 56595, '16': 4311, '17': 8962, '18': 1}, {'key': 'SPY   241014P00583000', '16': 452, '17': 1137}, {'key': 'SPY   241014P00580000', '8': 111765, '17': 11039, '18': 4}, {'key': 'SPY   241014P00582000', '16': 218, '17': 5049}, {'key': 'SPY   241014C00585000', '16': 1705, '17': 840}, {'key': 'SPY   241014C00584000', '4': 0.4, '8': 263002, '11': -0.1399, '16': 233, '17': 146, '18': 2}, {'key': 'SPY   241014C00583000', '3': 1.08, '4': 1.08, '8': 213861, '11': 0.87, '16': 121, '18': 1}, {'key': 'SPY   241014C00582000', '2': 1.92, '16': 103}, {'key': 'SPY   241014P00584000', '4': 0.51, '8': 120648, '16': 155, '17': 176, '18': 3}, {'key': 'SPY   241014C00581000', '2': 2.88, '11': 2.88, '16': 82}]}"
2,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929283542, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 583.87, '4': 1, '7': 'P', '8': 16196906, '34': 1728929283093, '37': 1728929282828, '38': 1728929283093, '40': 'ARCX'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929283542, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00577000', '11': 6.87, '17': 23}, {'key': 'SPY   241014P00578000', '11': -5.87}, {'key': 'SPY   241014P00577000', '11': -6.87, '16': 2504}, {'key': 'SPY   241014P00579000', '11': -4.87, '16': 4259, '17': 9411}, {'key': 'SPY   241014P00583000', '8': 247552, '11': -0.87, '16': 510, '17': 1151, '18': 6}, {'key': 'SPY   241014P00580000', '11': -3.87, '17': 11024}, {'key': 'SPY   241014P00582000', '2': 0.07, '3': 0.08, '4': 0.07, '6': 0.07, '8': 246050, '11': -1.87, '16': 1610, '17': 1112, '18': 48}, {'key': 'SPY   241014P00581000', '4': 0.05, '8': 121078, '11': -2.87, '18': 9}, {'key': 'SPY   241014C00585000', '8': 165506, '11': -1.13, '17': 825, '18': 1}, {'key': 'SPY   241014C00584000', '11': -0.13, '16': 229, '17': 70}, {'key': 'SPY   241014C00583000', '2': 1.06, '4': 1.06, '8': 213866, '16': 1, '17': 50, '18': 5}, {'key': 'SPY   241014P00584000', '8': 120653, '11': 0.13, '17': 191, '18': 1}, {'key': 'SPY   241014P00585000', '11': 1.13, '17': 64}]}"
3,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929284565, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 583.88, '2': 583.9, '3': 583.88, '4': 11, '5': 11, '6': 'L', '7': 'L', '8': 16198411, '34': 1728929284132, '35': 1728929284102, '37': 1728929284131, '38': 1728929284132, '39': 'LTSE', '40': 'LTSE'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929284565, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '2': 5.87, '3': 5.95, '16': 23, '17': 23}, {'key': 'SPY   241014C00580000', '2': 3.88, '3': 3.95, '17': 30}, {'key': 'SPY   241014C00579000', '2': 4.87, '3': 4.94}, {'key': 'SPY   241014C00577000', '2': 6.86, '3': 6.93, '11': 6.88}, {'key': 'SPY   241014P00576000', '17': 17705}, {'key': 'SPY   241014C00575000', '16': 166}, {'key': 'SPY   241014P00577000', '11': -6.88}, {'key': 'SPY   241014P00579000', '11': -4.88, '16': 3248, '17': 10142}, {'key': 'SPY   241014P00583000', '8': 247596, '11': -0.88, '16': 100, '17': 2345, '18': 39}, {'key': 'SPY   241014P00580000', '11': -3.88}, {'key': 'SPY   241014P00582000', '8': 246052, '11': -1.88, '16': 2423, '17': 1334, '18': 2}, {'key': 'SPY   241014P00581000', '11': -2.88, '16': 3182, '17': 4424}, {'key': 'SPY   241014C00585000', '8': 165509, '11': -1.12, '16': 2131, '17': 502, '18': 3}, {'key': 'SPY   241014C00584000', '2': 0.4, '3': 0.41000000000000003, '4': 0.39, '8': 263030, '11': -0.12, '16': 121, '17': 416, '18': 1}, {'key': 'SPY   241014C00583000', '8': 213877, '11': 0.88, '16': 8, '17': 31, '18': 10}, {'key': 'SPY   241014C00582000', '2': 1.94, '16': 104, '17': 2}, {'key': 'SPY   241014P00584000', '2': 0.5, '3': 0.51, '8': 120753, '11': 0.12, '16': 192, '17': 128, '18': 9}, {'key': 'SPY   241014C00581000', '2': 2.9, '3': 2.9699999999999998, '17': 30}, {'key': 'SPY   241014P00585000', '2': 1.19, '3': 1.23, '11': 1.12, '17': 112}]}"
4,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929285588, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 583.89, '3': 583.8995, '4': 1, '5': 3, '6': 'P', '7': 'K', '8': 16200047, '9': 400, '34': 1728929285363, '35': 1728929285371, '37': 1728929284971, '38': 1728929285363, '39': 'ARCX', '40': 'EDGX'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929285588, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00580000', '11': 3.9, '17': 23}, {'key': 'SPY   241014C00579000', '2': 4.88}, {'key': 'SPY   241014C00577000', '2': 6.87}, {'key': 'SPY   241014C00576000', '2': 7.86, '11': 7.9}, {'key': 'SPY   241014C00575000', '2': 8.83, '16': 27}, {'key': 'SPY   241014P00579000', '11': -4.9, '17': 10080}, {'key': 'SPY   241014P00583000', '2': 0.17, '3': 0.18, '6': 0.17, '8': 247773, '11': -0.9, '16': 701, '17': 309, '18': 100}, {'key': 'SPY   241014P00580000', '11': -3.9}, {'key': 'SPY   241014P00582000', '8': 246102, '11': -1.9, '17': 1803, '18': 5}, {'key': 'SPY   241014P00581000', '11': -2.9, '16': 2982, '17': 4430}, {'key': 'SPY   241014C00585000', '8': 165529, '11': -1.1, '17': 450, '18': 19}, {'key': 'SPY   241014C00584000', '11': -0.1, '16': 271, '17': 285}, {'key': 'SPY   241014C00583000', '3': 1.09, '4': 1.08, '8': 213882, '11': 0.9, '16': 36, '17': 52, '18': 1}, {'key': 'SPY   241014C00582000', '2': 1.9500000000000002, '11': 1.9, '16': 10}, {'key': 'SPY   241014P00584000', '4': 0.5, '8': 120770, '11': 0.1, '16': 191, '17': 182, '18': 1}, {'key': 'SPY   241014C00581000', '11': 2.9, '17': 22}, {'key': 'SPY   241014P00585000', '3': 1.22, '11': 1.1, '16': 1, '17': 53}]}"
5,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929286611, 'command': 'SUBS', 'content': [{'key': 'SPY', '4': 2, '5': 4, '7': 'T', '8': 16200210, '34': 1728929286380, '37': 1728929285799, '38': 1728929286380, '40': ' '}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929286611, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '11': 5.8995}, {'key': 'SPY   241014C00580000', '11': 3.8995, '17': 30}, {'key': 'SPY   241014C00579000', '11': 4.8995}, {'key': 'SPY   241014C00577000', '11': 6.8995, '17': 2}, {'key': 'SPY   241014C00576000', '11': 7.8995}, {'key': 'SPY   241014P00576000', '11': -7.8995, '17': 17845}, {'key': 'SPY   241014C00575000', '11': 8.8995}, {'key': 'SPY   241014P00577000', '11': -6.8995, '16': 2517}, {'key': 'SPY   241014P00583000', '8': 247873, '11': -0.8995000000000001, '16': 985, '17': 284, '18': 58}, {'key': 'SPY   241014P00582000', '8': 246107, '11': -1.8995000000000002, '16': 2675, '17': 2004}, {'key': 'SPY   241014C00585000', '8': 165530, '11': -1.1005, '17': 451, '18': 1}, {'key': 'SPY   241014C00584000', '4': 0.41000000000000003, '8': 263034, '11': -0.1005, '16': 270, '17': 157}, {'key': 'SPY   241014C00583000', '8': 213897, '11': 0.8995000000000001, '16': 63}, {'key': 'SPY   241014C00582000', '11': 1.8995000000000002, '16': 73}, {'key': 'SPY   241014P00584000', '4': 0.51, '8': 120803, '11': 0.1005, '18': 2}, {'key': 'SPY   241014C00581000', '11': 2.8995, '17': 30}, {'key': 'SPY   241014P00585000', '11': 1.1005, '17': 62}]}"
6,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929287634, 'command': 'SUBS', 'content': [{'key': 'SPY', '5': 5, '6': 'K', '8': 16200292, '34': 1728929287370, '38': 1728929287370, '39': 'EDGX'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929287634, 'command': 'SUBS', 'content': [{'key': 'SPY   241014P00579000', '11': -4.8995, '17': 14291}, {'key': 'SPY   241014P00583000', '4': 0.17, '8': 247887, '16': 977, '17': 554, '18': 10}, {'key': 'SPY   241014P00580000', '11': -3.8995}, {'key': 'SPY   241014P00582000', '16': 2997, '17': 2021}, {'key': 'SPY   241014C00585000', '8': 165531, '17': 356}, {'key': 'SPY   241014C00584000', '16': 271, '17': 79}, {'key': 'SPY   241014C00583000', '8': 213898, '16': 90}, {'key': 'SPY   241014P00584000', '4': 0.5, '8': 121107, '16': 192, '18': 45}]}"
7,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929288657, 'command': 'SUBS', 'content': [{'key': 'SPY', '3': 583.8986, '5': 11, '6': 'L', '8': 16200392, '9': 100, '34': 1728929288392, '35': 1728929288240, '38': 1728929288392, '39': 'LTSE'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929288657, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00580000', '17': 23}, {'key': 'SPY   241014C00579000', '3': 4.95}, {'key': 'SPY   241014C00577000', '3': 6.94, '17': 23}, {'key': 'SPY   241014P00575000', '11': -8.8986}, {'key': 'SPY   241014P00576000', '16': 2046, '17': 17868}, {'key': 'SPY   241014P00579000', '11': -4.8986, '16': 2179, '17': 14311}, {'key': 'SPY   241014P00583000', '8': 247902, '11': -0.8986000000000001, '16': 669, '17': 615, '18': 1}, {'key': 'SPY   241014P00580000', '8': 111766, '11': -3.8986, '16': 298, '18': 1}, {'key': 'SPY   241014P00582000', '16': 3014, '17': 2051}, {'key': 'SPY   241014P00581000', '4': 0.04, '8': 121107, '11': -2.8995, '16': 3178, '17': 4511, '18': 5}, {'key': 'SPY   241014C00585000', '8': 165534, '11': -1.1014, '16': 2134, '17': 459, '18': 3}, {'key': 'SPY   241014C00584000', '4': 0.4, '8': 263086, '11': -0.1014, '16': 308, '17': 183, '18': 32}, {'key': 'SPY   241014C00583000', '4': 1.09, '8': 213903, '11': 0.8986000000000001, '16': 131, '17': 31, '18': 5}, {'key': 'SPY   241014C00582000', '11': 1.8986, '16': 35}, {'key': 'SPY   241014P00584000', '8': 121161, '11': 0.1014, '16': 386, '17': 217, '18': 3}, {'key': 'SPY   241014C00581000', '11': 2.8986, '17': 22}, {'key': 'SPY   241014P00585000', '4': 1.22, '8': 21736, '11': 1.1014, '17': 63, '18': 1}]}"
8,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929289681, 'command': 'SUBS', 'content': [{'key': 'SPY', '5': 6, '6': 'P', '8': 16200441, '34': 1728929289273, '37': 1728929288629, '38': 1728929289273, '39': 'ARCX'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929289681, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00580000', '11': 3.8986}, {'key': 'SPY   241014P00576000', '8': 17155, '11': -7.8986}, {'key': 'SPY   241014P00577000', '8': 31521, '11': -6.8986, '18': 1}, {'key': 'SPY   241014P00583000', '8': 248093, '16': 561, '17': 559, '18': 6}, {'key': 'SPY   241014P00582000', '8': 246109, '11': -1.8986, '18': 2}, {'key': 'SPY   241014P00581000', '8': 121108, '11': -2.8986, '16': 3024, '18': 1}, {'key': 'SPY   241014C00585000', '8': 165535, '16': 1749, '18': 1}, {'key': 'SPY   241014C00584000', '8': 263112, '16': 307, '17': 103, '18': 1}, {'key': 'SPY   241014C00583000', '4': 1.06, '8': 213904, '17': 52, '18': 1}, {'key': 'SPY   241014C00582000', '4': 1.98, '8': 81482, '16': 48}, {'key': 'SPY   241014P00584000', '8': 121168, '16': 240, '18': 7}, {'key': 'SPY   241014C00581000', '2': 2.94, '16': 1, '17': 30}]}"
9,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728929290702, 'command': 'SUBS', 'content': [{'key': 'SPY', '3': 583.9, '4': 3, '6': 'K', '8': 16200552, '16': 'T', '34': 1728929290440, '35': 1728929290440, '37': 1728929290294, '38': 1728929290440, '39': 'EDGX', '41': ' '}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728929290702, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00580000', '3': 3.96, '11': 3.9, '17': 100}, {'key': 'SPY   241014P00575000', '11': -8.9, '17': 19976}, {'key': 'SPY   241014P00576000', '11': -7.9, '16': 2044}, {'key': 'SPY   241014P00577000', '8': 31523, '16': 2644, '18': 2}, {'key': 'SPY   241014P00579000', '8': 56596, '11': -4.9, '17': 10242}, {'key': 'SPY   241014P00583000', '8': 248110, '11': -0.9, '16': 590, '17': 460, '18': 2}, {'key': 'SPY   241014P00580000', '11': -3.9, '16': 360}, {'key': 'SPY   241014P00582000', '16': 2944, '17': 1923}, {'key': 'SPY   241014P00581000', '8': 121109, '11': -2.9, '16': 2935, '17': 4354}, {'key': 'SPY   241014C00585000', '8': 165564, '10': 8.81773011, '11': -1.1, '16': 2135, '17': 574, '18': 20}, {'key': 'SPY   241014C00584000', '4': 0.41000000000000003, '8': 263114, '10': 8.99552508, '11': -0.1, '16': 254, '17': 119, '18': 2}, {'key': 'SPY   241014C00583000', '10': 9.96079487, '11': 0.9, '16': 120, '17': 50}, {'key': 'SPY   241014C00582000', '10': 11.97506671, '11': 1.9, '16': 43}, {'key': 'SPY   241014P00584000', '11': 0.1, '16': 192}, {'key': 'SPY   241014C00581000', '2': 2.91, '4': 2.9699999999999998, '8': 34022, '10': 14.61386911, '11': 2.9, '16': 22, '18': 4}, {'key': 'SPY   241014P00585000', '11': 1.1, '17': 90}]}"
