,0,1
0,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728912999498, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 581.69, '2': 581.72, '3': 581.675, '4': 5, '5': 12, '6': 'T', '7': 'L', '8': 2502527, '16': 'D', '34': 1728912999452, '35': 1728912998782, '37': 1728912999452, '38': 1728912999452, '39': ' ', '40': 'LTSE', '41': 'XADF'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728912999498, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '2': 3.8200000000000003, '11': 3.675, '16': 291}, {'key': 'SPY   241014C00580000', '2': 2.13, '3': 2.15, '4': 2.14, '8': 4565, '11': 1.675, '16': 35, '17': 34, '18': 1}, {'key': 'SPY   241014C00579000', '2': 2.93, '11': 2.675, '16': 167, '17': 40}, {'key': 'SPY   241014C00577000', '2': 4.76, '11': 4.675, '16': 21, '17': 30}, {'key': 'SPY   241014C00576000', '2': 5.7, '11': 5.675, '17': 21}, {'key': 'SPY   241014P00575000', '11': -6.675, '16': 1120, '17': 2152}, {'key': 'SPY   241014P00576000', '11': -5.675, '16': 2521, '17': 494}, {'key': 'SPY   241014C00575000', '2': 6.7, '11': 6.675, '17': 23}, {'key': 'SPY   241014P00578000', '8': 3886, '11': -3.675, '16': 451, '17': 762, '18': 4}, {'key': 'SPY   241014P00577000', '8': 5994, '11': -4.675, '16': 2075, '17': 32, '18': 1}, {'key': 'SPY   241014P00579000', '8': 6363, '11': -2.675, '16': 348, '17': 537}, {'key': 'SPY   241014P00583000', '4': 1.8, '8': 718, '11': 1.325, '16': 31, '17': 52}, {'key': 'SPY   241014P00580000', '4': 0.48, '8': 11357, '11': -1.675, '16': 62, '17': 1062, '18': 4}, {'key': 'SPY   241014P00582000', '2': 1.18, '3': 1.19, '4': 1.19, '8': 7466, '11': 0.325, '16': 255, '17': 98}, {'key': 'SPY   241014P00581000', '4': 0.77, '8': 14098, '11': -0.675, '16': 206, '17': 452, '18': 5}, {'key': 'SPY   241014C00585000', '8': 12055, '11': -3.325, '16': 887, '17': 1708}, {'key': 'SPY   241014C00584000', '8': 11133, '11': -2.325, '16': 364, '17': 789, '18': 3}, {'key': 'SPY   241014C00583000', '4': 0.45, '8': 15438, '11': -1.325, '16': 803, '17': 22, '18': 1}, {'key': 'SPY   241014C00582000', '8': 12432, '11': -0.325, '16': 327, '17': 47, '18': 3}, {'key': 'SPY   241014P00584000', '2': 2.5300000000000002, '3': 2.59, '11': 2.325, '16': 39, '17': 355}, {'key': 'SPY   241014C00581000', '2': 1.42, '3': 1.43, '8': 12857, '11': 0.675, '16': 41, '17': 56, '18': 1}, {'key': 'SPY   241014P00585000', '2': 3.4, '3': 3.49, '11': 3.325, '16': 23, '17': 31}]}"
1,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728913000514, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 581.7, '4': 1, '5': 13, '7': 'T', '8': 2502550, '34': 1728913000380, '37': 1728913000289, '38': 1728913000380, '40': ' '}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728913000514, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '2': 3.83, '3': 3.9, '16': 365}, {'key': 'SPY   241014C00580000', '3': 2.17, '4': 2.15, '8': 4566, '16': 121}, {'key': 'SPY   241014C00579000', '2': 2.95, '3': 3, '16': 192, '17': 52}, {'key': 'SPY   241014C00577000', '2': 4.77, '3': 4.84, '17': 21}, {'key': 'SPY   241014C00576000', '2': 5.72, '3': 5.8, '17': 2}, {'key': 'SPY   241014P00575000', '16': 1080, '17': 2365}, {'key': 'SPY   241014P00576000', '16': 2271, '17': 731}, {'key': 'SPY   241014C00575000', '3': 6.78}, {'key': 'SPY   241014P00578000', '16': 638, '17': 830}, {'key': 'SPY   241014P00577000', '16': 1946}, {'key': 'SPY   241014P00579000', '4': 0.31, '8': 6374, '16': 103, '17': 1744}, {'key': 'SPY   241014P00583000', '2': 1.76, '3': 1.79, '16': 51, '17': 53}, {'key': 'SPY   241014P00580000', '2': 0.47000000000000003, '3': 0.48, '8': 11445, '16': 155, '17': 497, '18': 1}, {'key': 'SPY   241014P00582000', '2': 1.17, '3': 1.18, '4': 1.18, '8': 7517, '16': 142, '17': 101}, {'key': 'SPY   241014P00581000', '2': 0.75, '3': 0.76, '4': 0.76, '8': 14367, '16': 22, '17': 337, '18': 2}, {'key': 'SPY   241014C00585000', '16': 851, '17': 1787}, {'key': 'SPY   241014C00584000', '8': 11139, '16': 357, '17': 612, '18': 1}, {'key': 'SPY   241014C00583000', '2': 0.45, '3': 0.46, '4': 0.46, '8': 15453, '16': 317, '17': 304}, {'key': 'SPY   241014C00582000', '2': 0.85, '3': 0.86, '4': 0.85, '8': 12457, '16': 268, '17': 68, '18': 1}, {'key': 'SPY   241014P00584000', '2': 2.52, '3': 2.5700000000000003, '4': 2.5300000000000002, '8': 169, '18': 2}, {'key': 'SPY   241014C00581000', '3': 1.44, '4': 1.43, '8': 12859, '16': 100, '17': 86}, {'key': 'SPY   241014P00585000', '2': 3.38, '3': 3.47, '17': 34}]}"
2,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728913001536, 'command': 'SUBS', 'content': [{'key': 'SPY', '2': 581.71, '3': 581.7001, '5': 21, '6': 'P', '8': 2504373, '9': 480, '34': 1728913001268, '35': 1728913001437, '37': 1728913001217, '38': 1728913001268, '39': 'ARCX'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728913001536, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '11': 3.71, '16': 254, '17': 365}, {'key': 'SPY   241014C00580000', '3': 2.16, '11': 1.705, '16': 35}, {'key': 'SPY   241014C00579000', '11': 2.705, '16': 60, '17': 355}, {'key': 'SPY   241014C00577000', '11': 4.705, '16': 1}, {'key': 'SPY   241014C00576000', '11': 5.705, '17': 21}, {'key': 'SPY   241014P00575000', '8': 3345, '11': -6.705}, {'key': 'SPY   241014P00576000', '8': 4763, '11': -5.705, '16': 2521, '17': 579}, {'key': 'SPY   241014C00575000', '11': 6.705, '17': 2}, {'key': 'SPY   241014P00578000', '8': 3897, '11': -3.705, '16': 1007, '17': 698, '18': 1}, {'key': 'SPY   241014P00577000', '11': -4.705, '17': 101}, {'key': 'SPY   241014P00579000', '8': 6379, '11': -2.705, '16': 250, '17': 1053}, {'key': 'SPY   241014P00583000', '2': 1.77, '3': 1.8, '11': 1.29, '16': 31, '17': 41}, {'key': 'SPY   241014P00580000', '8': 11449, '11': -1.705, '16': 402, '17': 656}, {'key': 'SPY   241014P00582000', '2': 1.18, '3': 1.19, '4': 1.19, '8': 7533, '11': 0.295, '16': 23, '17': 100, '18': 14}, {'key': 'SPY   241014P00581000', '8': 14430, '11': -0.705, '16': 262, '17': 171, '18': 1}, {'key': 'SPY   241014C00585000', '11': -3.295, '16': 491, '17': 2056}, {'key': 'SPY   241014C00584000', '8': 11144, '11': -2.295, '16': 248, '17': 634}, {'key': 'SPY   241014C00583000', '11': -1.295, '16': 313, '17': 423}, {'key': 'SPY   241014C00582000', '8': 12468, '11': -0.295, '16': 72, '17': 257, '18': 4}, {'key': 'SPY   241014P00584000', '11': 2.29, '17': 59}, {'key': 'SPY   241014C00581000', '3': 1.43, '4': 1.42, '8': 12861, '11': 0.705, '16': 30, '17': 70}, {'key': 'SPY   241014P00585000', '11': 3.29, '17': 23}]}"
3,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728913002560, 'command': 'SUBS', 'content': [{'key': 'SPY', '2': 581.72, '3': 581.7005, '4': 8, '5': 5, '7': 'N', '8': 2506081, '9': 100, '34': 1728913002465, '35': 1728913002430, '37': 1728913002465, '38': 1728913002412, '40': 'XNYS'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728913002560, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '2': 3.84, '3': 3.91, '11': 3.69, '16': 365, '17': 255}, {'key': 'SPY   241014C00580000', '3': 2.18, '11': 1.69, '16': 289, '17': 110}, {'key': 'SPY   241014C00579000', '11': 2.69, '16': 365, '17': 40}, {'key': 'SPY   241014C00577000', '2': 4.78, '3': 4.86, '11': 4.69}, {'key': 'SPY   241014C00576000', '3': 5.82, '11': 5.69}, {'key': 'SPY   241014P00575000', '11': -6.69, '16': 1154, '17': 2306}, {'key': 'SPY   241014P00576000', '11': -5.69, '16': 2233, '17': 797}, {'key': 'SPY   241014C00575000', '3': 6.8100000000000005, '11': 6.69, '17': 23}, {'key': 'SPY   241014P00578000', '8': 3926, '11': -3.69, '16': 774, '17': 707, '18': 5}, {'key': 'SPY   241014P00577000', '11': -4.69, '16': 1884, '17': 535}, {'key': 'SPY   241014P00579000', '8': 6380, '11': -2.69, '16': 105, '17': 1734}, {'key': 'SPY   241014P00583000', '2': 1.75, '3': 1.79, '11': 1.31, '16': 139, '17': 57}, {'key': 'SPY   241014P00580000', '8': 11459, '11': -1.69, '16': 163, '17': 861}, {'key': 'SPY   241014P00582000', '2': 1.17, '3': 1.18, '4': 1.18, '8': 7536, '11': 0.31, '17': 110, '18': 2}, {'key': 'SPY   241014P00581000', '8': 14437, '11': -0.6900000000000001, '16': 2, '17': 357, '18': 4}, {'key': 'SPY   241014C00585000', '8': 12117, '11': -3.31, '16': 580, '17': 1572, '18': 12}, {'key': 'SPY   241014C00584000', '8': 11145, '11': -2.31, '16': 342, '17': 470}, {'key': 'SPY   241014C00583000', '8': 15454, '11': -1.31, '16': 262, '17': 239}, {'key': 'SPY   241014C00582000', '4': 0.86, '8': 12519, '11': -0.31, '16': 208, '17': 54, '18': 1}, {'key': 'SPY   241014P00584000', '3': 2.56, '11': 2.31, '16': 2, '17': 259}, {'key': 'SPY   241014C00581000', '2': 1.43, '3': 1.44, '11': 0.6900000000000001, '16': 35, '17': 39}, {'key': 'SPY   241014P00585000', '2': 3.35, '11': 3.31, '17': 37}]}"
4,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728913003583, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 581.69, '3': 581.705, '4': 5, '5': 10, '6': 'Z', '7': 'L', '8': 2507200, '34': 1728913003445, '35': 1728913003445, '37': 1728913003445, '38': 1728913003422, '39': 'BATS', '40': 'LTSE'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728913003583, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '11': 3.7195, '16': 49, '17': 89}, {'key': 'SPY   241014C00580000', '3': 2.17, '4': 2.13, '8': 4569, '11': 1.7195, '16': 109, '17': 61}, {'key': 'SPY   241014C00579000', '11': 2.7195, '16': 355, '17': 52}, {'key': 'SPY   241014C00577000', '2': 4.77, '3': 4.85, '11': 4.7195, '16': 21}, {'key': 'SPY   241014C00576000', '3': 5.8100000000000005, '11': 5.7035}, {'key': 'SPY   241014P00575000', '11': -6.7195, '16': 1238, '17': 2365}, {'key': 'SPY   241014P00576000', '11': -5.7195, '16': 2542, '17': 710}, {'key': 'SPY   241014C00575000', '3': 6.8, '11': 6.7195}, {'key': 'SPY   241014P00578000', '11': -3.7195, '16': 877, '17': 450}, {'key': 'SPY   241014P00577000', '11': -4.7035, '16': 1939, '17': 352}, {'key': 'SPY   241014P00579000', '8': 6385, '11': -2.7195, '16': 259, '17': 1187}, {'key': 'SPY   241014P00583000', '2': 1.76, '11': 1.2805, '16': 83, '17': 30}, {'key': 'SPY   241014P00580000', '8': 11462, '11': -1.7195, '16': 341, '17': 433}, {'key': 'SPY   241014P00582000', '4': 1.17, '8': 7541, '11': 0.2805, '16': 107, '17': 94, '18': 5}, {'key': 'SPY   241014P00581000', '8': 14563, '11': -0.7195, '16': 30, '17': 349, '18': 5}, {'key': 'SPY   241014C00585000', '8': 12129, '11': -3.2805, '16': 525, '17': 979, '18': 5}, {'key': 'SPY   241014C00584000', '11': -2.2805, '16': 349, '17': 592}, {'key': 'SPY   241014C00583000', '8': 15479, '11': -1.2805, '16': 315, '17': 348}, {'key': 'SPY   241014C00582000', '8': 12526, '11': -0.2805, '16': 240, '17': 122, '18': 5}, {'key': 'SPY   241014P00584000', '4': 2.54, '8': 170, '11': 2.2805, '16': 39, '17': 39, '18': 1}, {'key': 'SPY   241014C00581000', '2': 1.42, '4': 1.43, '8': 12863, '11': 0.7195, '16': 92, '17': 103, '18': 2}, {'key': 'SPY   241014P00585000', '2': 3.36, '3': 3.46, '11': 3.2805, '17': 39}]}"
5,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728913004606, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 581.72, '2': 581.74, '3': 581.73, '4': 6, '5': 5, '7': 'T', '8': 2508012, '34': 1728913004422, '35': 1728913003998, '37': 1728913004422, '38': 1728913004149, '40': ' '}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728913004606, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '2': 3.86, '3': 3.93, '11': 3.73, '16': 81, '17': 53}, {'key': 'SPY   241014C00580000', '2': 2.15, '3': 2.19, '11': 1.73, '16': 177, '17': 44}, {'key': 'SPY   241014C00579000', '2': 2.98, '3': 3.03, '4': 3, '8': 2846, '11': 2.73, '16': 96, '17': 133, '18': 25}, {'key': 'SPY   241014C00577000', '2': 4.79, '3': 4.87, '11': 4.73}, {'key': 'SPY   241014C00576000', '2': 5.75, '3': 5.83, '11': 5.73}, {'key': 'SPY   241014P00575000', '11': -6.73, '16': 1171, '17': 1888}, {'key': 'SPY   241014P00576000', '8': 4764, '11': -5.73, '16': 1647, '17': 602}, {'key': 'SPY   241014C00575000', '2': 6.71, '3': 6.8100000000000005, '11': 6.73}, {'key': 'SPY   241014P00578000', '4': 0.19, '8': 3927, '11': -3.73, '16': 694, '17': 785, '18': 1}, {'key': 'SPY   241014P00577000', '4': 0.12, '8': 5999, '11': -4.73, '16': 1633, '17': 532, '18': 5}, {'key': 'SPY   241014P00579000', '8': 6386, '11': -2.73, '16': 4, '17': 1846}, {'key': 'SPY   241014P00583000', '2': 1.75, '3': 1.78, '11': 1.27, '16': 1, '17': 215}, {'key': 'SPY   241014P00580000', '8': 11490, '11': -1.73, '16': 10, '17': 700}, {'key': 'SPY   241014P00582000', '2': 1.15, '3': 1.17, '11': 0.27, '16': 335, '17': 274}, {'key': 'SPY   241014P00581000', '2': 0.74, '3': 0.75, '4': 0.72, '8': 14571, '11': -0.73, '16': 20, '17': 324}, {'key': 'SPY   241014C00585000', '8': 12137, '11': -3.27, '16': 864, '17': 1091}, {'key': 'SPY   241014C00584000', '8': 11146, '11': -2.27, '16': 975, '17': 401}, {'key': 'SPY   241014C00583000', '2': 0.46, '3': 0.47000000000000003, '8': 15488, '11': -1.27, '16': 295, '17': 496, '18': 4}, {'key': 'SPY   241014C00582000', '2': 0.86, '3': 0.88, '4': 0.87, '8': 12546, '11': -0.27, '16': 285, '17': 509, '18': 1}, {'key': 'SPY   241014P00584000', '2': 2.48, '3': 2.54, '4': 2.52, '8': 172, '11': 2.27, '16': 354, '17': 160, '18': 2}, {'key': 'SPY   241014C00581000', '2': 1.44, '3': 1.46, '8': 12883, '11': 0.73, '16': 140, '17': 135, '18': 5}, {'key': 'SPY   241014P00585000', '2': 3.35, '3': 3.44, '11': 3.27, '17': 23}]}"
6,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728913005628, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 581.73, '3': 581.72, '4': 2, '7': 'P', '8': 2508417, '9': 204, '34': 1728913005455, '35': 1728913004971, '37': 1728913005455, '38': 1728913005454, '40': 'ARCX'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728913005628, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '2': 3.87, '11': 3.7199999999999998, '16': 285, '17': 49}, {'key': 'SPY   241014C00580000', '2': 2.16, '3': 2.2, '11': 1.72, '16': 44, '17': 96}, {'key': 'SPY   241014C00579000', '11': 2.7199999999999998, '16': 216, '17': 40}, {'key': 'SPY   241014C00577000', '2': 4.8100000000000005, '11': 4.72, '17': 30}, {'key': 'SPY   241014C00576000', '3': 5.84, '11': 5.74}, {'key': 'SPY   241014P00575000', '11': -6.72, '17': 2491}, {'key': 'SPY   241014P00576000', '11': -5.72, '16': 2155, '17': 740}, {'key': 'SPY   241014C00575000', '11': 6.72}, {'key': 'SPY   241014P00578000', '11': -3.7199999999999998, '16': 723, '17': 1040}, {'key': 'SPY   241014P00577000', '11': -4.72, '16': 1699}, {'key': 'SPY   241014P00579000', '2': 0.29, '3': 0.30000000000000004, '4': 0.30000000000000004, '8': 6393, '11': -2.7199999999999998, '16': 881, '17': 248}, {'key': 'SPY   241014P00583000', '3': 1.77, '11': 1.28, '17': 51}, {'key': 'SPY   241014P00580000', '2': 0.46, '3': 0.47000000000000003, '4': 0.47000000000000003, '8': 11525, '11': -1.72, '16': 482, '17': 225, '18': 6}, {'key': 'SPY   241014P00582000', '11': 0.28, '16': 332, '17': 309}, {'key': 'SPY   241014P00581000', '4': 0.75, '8': 14572, '11': -0.72, '16': 77, '17': 285, '18': 1}, {'key': 'SPY   241014C00585000', '4': 0.1, '8': 12193, '11': -3.2800000000000002, '16': 910, '17': 1083, '18': 3}, {'key': 'SPY   241014C00584000', '4': 0.22, '8': 11199, '11': -2.2800000000000002, '16': 1219, '17': 113}, {'key': 'SPY   241014C00583000', '8': 15497, '11': -1.28, '16': 342, '17': 430, '18': 1}, {'key': 'SPY   241014C00582000', '2': 0.87, '4': 0.88, '8': 12587, '11': -0.28, '16': 5, '17': 363, '18': 40}, {'key': 'SPY   241014P00584000', '11': 2.2800000000000002, '16': 253, '17': 246}, {'key': 'SPY   241014C00581000', '3': 1.45, '11': 0.72, '16': 240, '17': 2}, {'key': 'SPY   241014P00585000', '11': 3.2800000000000002, '17': 31}]}"
7,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728913006651, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 581.74, '2': 581.76, '3': 581.75, '4': 5, '5': 15, '6': 'T', '7': 'L', '8': 2509461, '9': 100, '16': 'P', '34': 1728913006440, '35': 1728913006361, '37': 1728913006430, '38': 1728913006440, '39': ' ', '40': 'LTSE', '41': 'ARCX'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728913006651, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '3': 3.94, '11': 3.75, '16': 365, '17': 29}, {'key': 'SPY   241014C00580000', '11': 1.75, '16': 289, '17': 19}, {'key': 'SPY   241014C00579000', '4': 2.98, '8': 2847, '11': 2.75, '16': 355, '17': 1, '18': 1}, {'key': 'SPY   241014C00577000', '3': 4.88, '11': 4.75, '17': 1}, {'key': 'SPY   241014C00576000', '11': 5.75, '17': 2}, {'key': 'SPY   241014P00575000', '11': -6.75}, {'key': 'SPY   241014P00576000', '8': 4766, '11': -5.75, '16': 2494, '17': 502}, {'key': 'SPY   241014C00575000', '3': 6.82, '11': 6.75, '16': 25, '17': 2}, {'key': 'SPY   241014P00578000', '4': 0.2, '8': 3935, '11': -3.75, '16': 641, '17': 1160}, {'key': 'SPY   241014P00577000', '11': -4.75, '16': 1739, '17': 531}, {'key': 'SPY   241014P00579000', '8': 6401, '11': -2.75, '16': 381, '17': 242, '18': 3}, {'key': 'SPY   241014P00583000', '2': 1.73, '3': 1.76, '4': 1.75, '8': 719, '11': 1.25, '16': 30, '17': 27}, {'key': 'SPY   241014P00580000', '8': 11546, '11': -1.75, '16': 336, '17': 394, '18': 3}, {'key': 'SPY   241014P00582000', '3': 1.16, '4': 1.16, '8': 7542, '11': 0.25, '16': 24, '17': 86, '18': 1}, {'key': 'SPY   241014P00581000', '2': 0.73, '3': 0.74, '4': 0.73, '8': 14586, '11': -0.75, '16': 213, '17': 132, '18': 2}, {'key': 'SPY   241014C00585000', '11': -3.25, '16': 764, '17': 975}, {'key': 'SPY   241014C00584000', '4': 0.21, '8': 11200, '11': -2.25, '16': 1502, '17': 111}, {'key': 'SPY   241014C00583000', '11': -1.25, '16': 321, '17': 180}, {'key': 'SPY   241014C00582000', '4': 0.87, '8': 12599, '11': -0.25, '16': 65, '17': 110, '18': 1}, {'key': 'SPY   241014P00584000', '3': 2.5300000000000002, '4': 2.51, '8': 177, '11': 2.25, '16': 39, '17': 40, '18': 5}, {'key': 'SPY   241014C00581000', '2': 1.45, '3': 1.47, '4': 1.44, '8': 12886, '11': 0.75, '16': 64, '17': 99, '18': 1}, {'key': 'SPY   241014P00585000', '2': 3.34, '3': 3.43, '11': 3.25, '16': 2, '17': 23}]}"
8,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728913007675, 'command': 'SUBS', 'content': [{'key': 'SPY', '4': 8, '5': 11, '7': 'T', '8': 2510063, '16': 'D', '34': 1728913007386, '35': 1728913007446, '37': 1728913007360, '38': 1728913007386, '40': ' ', '41': 'XADF'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728913007675, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '2': 3.88, '3': 3.95, '16': 96, '17': 59}, {'key': 'SPY   241014C00580000', '2': 2.17, '3': 2.21, '4': 2.17, '8': 4571, '16': 54, '17': 131, '18': 2}, {'key': 'SPY   241014C00579000', '2': 2.99, '3': 3.05, '16': 168, '17': 355}, {'key': 'SPY   241014C00577000', '3': 4.89, '17': 21}, {'key': 'SPY   241014C00576000', '2': 5.76, '3': 5.85, '17': 21}, {'key': 'SPY   241014P00575000', '16': 1207}, {'key': 'SPY   241014P00576000', '16': 2518, '17': 655}, {'key': 'SPY   241014C00575000', '2': 6.73, '3': 6.83, '16': 23, '17': 23}, {'key': 'SPY   241014P00578000', '8': 3936, '16': 808, '17': 1107}, {'key': 'SPY   241014P00577000', '16': 1934}, {'key': 'SPY   241014P00579000', '8': 6406, '16': 567, '17': 298, '18': 1}, {'key': 'SPY   241014P00583000', '16': 35, '17': 49}, {'key': 'SPY   241014P00580000', '8': 11566, '16': 419, '17': 315, '18': 1}, {'key': 'SPY   241014P00582000', '4': 1.15, '8': 7549, '16': 54, '17': 274, '18': 5}, {'key': 'SPY   241014P00581000', '4': 0.74, '8': 14597, '16': 202, '17': 225, '18': 1}, {'key': 'SPY   241014C00585000', '16': 779, '17': 1076}, {'key': 'SPY   241014C00584000', '8': 11221, '16': 1883, '17': 4, '18': 20}, {'key': 'SPY   241014C00583000', '4': 0.47000000000000003, '8': 15561, '16': 788, '17': 87, '18': 2}, {'key': 'SPY   241014C00582000', '4': 0.88, '8': 12600, '16': 304, '17': 20}, {'key': 'SPY   241014P00584000', '2': 2.47, '16': 158, '17': 283}, {'key': 'SPY   241014C00581000', '4': 1.47, '8': 12888, '16': 68, '17': 68}, {'key': 'SPY   241014P00585000', '16': 23, '17': 31}]}"
9,"{'service': 'LEVELONE_EQUITIES', 'timestamp': 1728913008695, 'command': 'SUBS', 'content': [{'key': 'SPY', '1': 581.73, '2': 581.74, '3': 581.74, '5': 3, '6': 'P', '7': 'P', '8': 2512154, '34': 1728913008437, '35': 1728913008436, '37': 1728913008437, '38': 1728913008436, '39': 'ARCX', '40': 'ARCX'}]}","{'service': 'LEVELONE_OPTIONS', 'timestamp': 1728913008695, 'command': 'SUBS', 'content': [{'key': 'SPY   241014C00578000', '11': 3.74, '16': 59, '17': 121}, {'key': 'SPY   241014C00580000', '11': 1.74, '16': 43, '17': 289}, {'key': 'SPY   241014C00579000', '11': 2.74, '16': 60}, {'key': 'SPY   241014P00575000', '8': 3346, '11': -6.74, '16': 1258, '17': 3766}, {'key': 'SPY   241014P00576000', '11': -5.74, '16': 2768, '17': 665}, {'key': 'SPY   241014P00578000', '11': -3.74, '16': 868, '17': 454}, {'key': 'SPY   241014P00577000', '11': -4.74, '16': 2181, '17': 497}, {'key': 'SPY   241014P00579000', '8': 6434, '11': -2.74, '16': 688, '17': 245, '18': 2}, {'key': 'SPY   241014P00583000', '2': 1.74, '3': 1.77, '11': 1.26, '16': 30, '17': 54}, {'key': 'SPY   241014P00580000', '8': 11680, '11': -1.74, '16': 622, '17': 225}, {'key': 'SPY   241014P00582000', '4': 1.17, '8': 7654, '11': 0.26, '16': 266, '17': 28}, {'key': 'SPY   241014P00581000', '4': 0.73, '8': 14613, '11': -0.74, '16': 318, '17': 7}, {'key': 'SPY   241014C00584000', '4': 0.22, '8': 11223, '11': -2.26, '16': 1533, '17': 193, '18': 1}, {'key': 'SPY   241014C00583000', '4': 0.46, '8': 15566, '11': -1.26, '16': 445, '17': 376, '18': 3}, {'key': 'SPY   241014C00582000', '8': 12617, '11': -0.26, '16': 38, '17': 347, '18': 5}, {'key': 'SPY   241014P00584000', '11': 2.26, '16': 347, '17': 59}, {'key': 'SPY   241014C00581000', '3': 1.46, '11': 0.74, '16': 35, '17': 48}]}"
